title;price_str;price;url
Hd7870 НА ПРОГРЕВ! Работает но переодически вылазят артефакты 7 фото.;1 999 грн.Договорная;1999;https://www.olx.ua/d/obyavlenie/hd7870-na-progrev-rabotaet-no-pereodicheski-vylazyat-artefakty-7-foto-IDNmlCm.html?sd=1#58ecdf0f42
Игровая Видеокарта GTX 1060/GTX 560/RX 550/RX 560;2 500 грн.;2500;https://www.olx.ua/d/obyavlenie/igrovaya-videokarta-gtx-1060-gtx-560-rx-550-rx-560-IDMDa9j.html?sd=1#58ecdf0f42
msi radeon 5700xt;20 000 грн.;20000;https://www.olx.ua/d/obyavlenie/msi-radeon-5700xt-IDNmlwG.html?sd=1#58ecdf0f42
MSI GeForce GTX 750 Ti Twin Frozr Gaming 2Gb GDDR5;3 200 грн.;3200;https://www.olx.ua/d/obyavlenie/msi-geforce-gtx-750-ti-twin-frozr-gaming-2gb-gddr5-IDNmlui.html?sd=1#58ecdf0f42
MSI RTX 3060 12GB LHR Новая, запечатаная;27 127 грн.;27127;https://www.olx.ua/d/obyavlenie/msi-rtx-3060-12gb-lhr-novaya-zapechatanaya-IDNmltV.html#58ecdf0f42
Gtx 660 msi видео карта;3 500 грн.;3500;https://www.olx.ua/d/obyavlenie/gtx-660-msi-video-karta-IDNmlrk.html?sd=1#58ecdf0f42
Выдиокарта на запчасти;3 000 грн.;3000;https://www.olx.ua/d/obyavlenie/vydiokarta-na-zapchasti-IDNmlpJ.html?sd=1#58ecdf0f42
GTX 1660Ti Gigabyte OC;19 500 грн.;19500;https://www.olx.ua/d/obyavlenie/gtx-1660ti-gigabyte-oc-IDMYZHP.html?sd=1#58ecdf0f42
Видеокарта ASUS Rog Strix Gtx 1070 Ti;14 400 грн.;14400;https://www.olx.ua/d/obyavlenie/videokarta-asus-rog-strix-gtx-1070-ti-IDNmibb.html?sd=1#58ecdf0f42
Видеокарта ASUS TUF GTX1650 4gb, GDDR6 128bit как новая! KLAVAcomp;10 999 грн.;10999;https://www.olx.ua/d/obyavlenie/videokarta-asus-tuf-gtx1650-4gb-gddr6-128bit-kak-novaya-klavacomp-IDMsIhU.html?sd=1#58ecdf0f42
RTX 2060 SUPER 8GB Inno3D Twin X2/гарантия 3мес/Trade-in/SiliconFox;28 750 грн.;28750;https://www.olx.ua/d/obyavlenie/rtx-2060-super-8gb-inno3d-twin-x2-garantiya-3mes-trade-in-siliconfox-IDLwQCF.html#58ecdf0f42
Видеокарта Asus GeForce GTX 980 Ti Strix 6GB OC;12 000 грн.Договорная;12000;https://www.olx.ua/d/obyavlenie/videokarta-asus-geforce-gtx-980-ti-strix-6gb-oc-IDNmlej.html?sd=1#8541ba4a1b
RTX 3060Ti Gigabyte Eagle;28 500 грн.;28500;https://www.olx.ua/d/obyavlenie/rtx-3060ti-gigabyte-eagle-IDNml4n.html#8541ba4a1b
видеокарта gigabyte radeon hd 5770 1gb gddr5, 5000руб.;1 200 грн.;1200;https://www.olx.ua/d/obyavlenie/videokarta-gigabyte-radeon-hd-5770-1gb-gddr5-5000rub-IDNmlac.html?sd=1#8541ba4a1b
Gt 210 1g ddr3 .;500 грн.;500;https://www.olx.ua/d/obyavlenie/gt-210-1g-ddr3-IDNmjQE.html?sd=1#8541ba4a1b
Видеокарта ASUS Geforce GTX 1080Ti Turbo;21 500 грн.;21500;https://www.olx.ua/d/obyavlenie/videokarta-asus-geforce-gtx-1080ti-turbo-IDNdFZs.html?sd=1#8541ba4a1b
Видеокарта Gigabyte 1060 6 GB (Нюанс);7 200 грн.Договорная;7200;https://www.olx.ua/d/obyavlenie/videokarta-gigabyte-1060-6-gb-nyuans-IDNml1v.html?sd=1#8541ba4a1b
Видеокарта ASUS DUAL GeForce GTX 1070 8Gb;14 000 грн.Договорная;14000;https://www.olx.ua/d/obyavlenie/videokarta-asus-dual-geforce-gtx-1070-8gb-IDN3627.html?sd=1#8541ba4a1b
Gigabyte GeForce RTX 3080 Ti Gaming OC;59 000 грн.;59000;https://www.olx.ua/d/obyavlenie/gigabyte-geforce-rtx-3080-ti-gaming-oc-IDNgFXM.html#8541ba4a1b
Nvidia gtx 1060 3 gb неисправна;4 000 грн.Договорная;4000;https://www.olx.ua/d/obyavlenie/nvidia-gtx-1060-3-gb-neispravna-IDNmkTL.html?sd=1#8541ba4a1b
Відеокарти Red Dragon RX5700XT ,Red Devil RX6700XT,Asus RX6700XT;35 000 грн.;35000;https://www.olx.ua/d/obyavlenie/vdeokarti-red-dragon-rx5700xt-red-devil-rx6700xt-asus-rx6700xt-IDNmktE.html#8541ba4a1b
Майнинг ферма Sapphire RX580 Nitro+RX480 RX470 8Gb 6 карт;116 603 грн.;116603;https://www.olx.ua/d/obyavlenie/mayning-ferma-sapphire-rx580-nitro-rx480-rx470-8gb-6-kart-IDNd8jn.html#8541ba4a1b
Palit GeForce  GT 240 / 512 Мб GDDR3/128 bit;600 грн.;600;https://www.olx.ua/d/obyavlenie/palit-geforce-gt-240-512-mb-gddr3-128-bit-IDLpoa0.html?sd=1#8541ba4a1b
XFX R7800 1gb | 256 bit СРОЧНО;2 050 грн.;2050;https://www.olx.ua/d/obyavlenie/xfx-r7800-1gb-256-bit-srochno-IDMekOT.html?sd=1#8541ba4a1b
Sapphire RX580 Pulse 8GB;14 900 грн.Договорная;14900;https://www.olx.ua/d/obyavlenie/sapphire-rx580-pulse-8gb-IDNmk7P.html?sd=1#8541ba4a1b
В наличии! PowerColor RX 6700 XT Hellhound. Холодные!;35 325 грн.;35325;https://www.olx.ua/d/obyavlenie/v-nalichii-powercolor-rx-6700-xt-hellhound-holodnye-IDNivdi.html#8541ba4a1b
Sapphire Radeon RX 5700 XT Nitro+;30 000 грн.;30000;https://www.olx.ua/d/obyavlenie/sapphire-radeon-rx-5700-xt-nitro-IDNmjWI.html#8541ba4a1b
Продам видеокарту GTX 760 РАБОЧАЯ ОТПРАВЛЕНА;2 800 грн.Договорная;2800;https://www.olx.ua/d/obyavlenie/prodam-videokartu-gtx-760-rabochaya-otpravlena-IDNl0T1.html?sd=1#8541ba4a1b
Видеокарта MSI HD 6790 (нерабочая);150 грн.;150;https://www.olx.ua/d/obyavlenie/videokarta-msi-hd-6790-nerabochaya-IDNmjDV.html?sd=1#8541ba4a1b
Видеокарта Nvidia gtx 1060 6gb;8 000 грн.;8000;https://www.olx.ua/d/obyavlenie/videokarta-nvidia-gtx-1060-6gb-IDNmkbB.html?sd=1#8541ba4a1b
Майнинг ферма риг innod3d 3090 8шт;30 000 грн.;30000;https://www.olx.ua/d/obyavlenie/mayning-ferma-rig-innod3d-3090-8sht-IDNmk8a.html#8541ba4a1b
Видеокарта игровая asus strix rx470;5 999 грн.Договорная;5999;https://www.olx.ua/d/obyavlenie/videokarta-igrovaya-asus-strix-rx470-IDNmkaM.html?sd=1#8541ba4a1b
Gtx 1660ti (читайте описание);9 300 грн.Договорная;9300;https://www.olx.ua/d/obyavlenie/gtx-1660ti-chitayte-opisanie-IDNmjrf.html?sd=1#8541ba4a1b
Видеокарта R9 270 4 GB;3 000 грн.;3000;https://www.olx.ua/d/obyavlenie/videokarta-r9-270-4-gb-IDNiytH.html?sd=1#8541ba4a1b
Видеокарта RX 470 4 GB;6 000 грн.;6000;https://www.olx.ua/d/obyavlenie/videokarta-rx-470-4-gb-IDKTY7N.html?sd=1#8541ba4a1b
Видеокарта Asus PCI-Ex GeForce 210 SILENT LP 1024MB DDR3;800 грн.;800;https://www.olx.ua/d/obyavlenie/videokarta-asus-pci-ex-geforce-210-silent-lp-1024mb-ddr3-IDJAbae.html?sd=1#8541ba4a1b
Продам видеокарту e - Geforce 7600 gt;200 грн.;200;https://www.olx.ua/d/obyavlenie/prodam-videokartu-e-geforce-7600-gt-IDNmjjC.html?sd=1#8541ba4a1b
